name,N,J,noise,periodic,beta,gamma,mean_degree,r_mean,alpha,Tc,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
SD,500,1.0,1e-10,False,7.210000000000004,6.01,20,0.5321609684462238,1.595355792711764,36.036303537584274,0.0926444031635708,23.2,1,1.0
SD,500,1.0,1e-10,False,7.410000000000005,6.01,20,0.4895389896267778,1.588579954481297,31.051367964877773,0.0715235182300003,22.48,1,1.0
SD,500,1.0,1e-10,False,7.410000000000005,6.01,20,0.491320604359871,1.599433022603256,38.90400308879633,0.1107199040886757,23.88,1,1.0
SD,500,1.0,1e-10,False,7.410000000000005,6.01,20,0.5330959902450741,1.5905994704386284,34.13301152507272,0.0748372390125677,23.52,1,1.0
SD,500,1.0,1e-10,False,7.410000000000005,6.01,20,0.4890434047679836,1.5859147523390218,31.94148962235639,0.0754024057449228,21.76,1,1.0
SD,500,1.0,1e-10,False,7.610000000000005,6.01,20,0.495344726241875,1.5841934875999346,31.9865926663514,0.0791098677020038,21.8,1,1.0
SD,500,1.0,1e-10,False,7.610000000000005,6.01,20,0.5234878636031668,1.593110014657128,30.072589024758702,0.0748995248703472,22.8,1,1.0
SD,500,1.0,1e-10,False,7.610000000000005,6.01,20,0.4991050312770772,1.599499505121635,38.24015103616287,0.0858134802977956,25.08,1,1.0
SD,500,1.0,1e-10,False,7.610000000000005,6.01,20,0.4988601907460774,1.5813626799760945,30.308145727670336,0.0647874548928468,20.52,1,1.0
SD,500,1.0,1e-10,False,7.810000000000005,6.01,20,0.4863036959989816,1.591099760886042,33.31688282185604,0.0932196607618731,23.6,1,1.0
SD,500,1.0,1e-10,False,7.810000000000005,6.01,20,0.5147923559197832,1.6017579030424216,39.66426526466041,0.1031494677941509,24.28,1,1.0
SD,500,1.0,1e-10,False,7.810000000000005,6.01,20,0.5117040287797143,1.5920624451892078,31.225427784880345,0.0950323405586924,20.92,1,1.0
SD,500,1.0,1e-10,False,7.810000000000005,6.01,20,0.5218198359839835,1.5982164036374755,38.04956380427306,0.085123016878611,25.2,1,1.0
SD,500,1.0,1e-10,False,8.010000000000005,6.01,20,0.5043527569576276,1.5936623910794303,35.68758746696238,0.0907217032383923,23.68,1,1.0
SD,500,1.0,1e-10,False,8.010000000000005,6.01,20,0.49671525450743,1.5988326061064788,38.52368080527031,0.0736230019294756,24.68,1,1.0
SD,500,1.0,1e-10,False,8.010000000000005,6.01,20,0.483622152039103,1.5939814548723683,35.734609809256796,0.0937787736267211,23.8,1,1.0
SD,500,1.0,1e-10,False,8.010000000000005,6.01,20,0.4902652443950393,1.5897480060666378,34.27027584607868,0.0757038713812932,22.76,1,1.0
SD,1000,1.0,1e-10,False,1.01,6.01,20,0.5454921334370545,1.596205500437288,30.229070701354015,0.5677631602055747,9.1,1,1.0
SD,1000,1.0,1e-10,False,1.01,6.01,20,0.5373996152025002,1.5970169561361456,31.82294875030703,0.5576038211091765,7.84,1,1.0
SD,1000,1.0,1e-10,False,1.01,6.01,20,0.5399907197188195,1.5954362784575424,29.72437538068894,0.6700079500197831,6.52,1,1.0
SD,1000,1.0,1e-10,False,1.01,6.01,20,0.5342326543443918,1.5964281669942224,31.22419519776221,0.5927584037112388,8.34,1,1.0
SD,1000,1.0,1e-10,False,1.21,6.01,20,0.5232690338646744,1.594458671320848,31.39737233325382,0.4974876922060322,9.44,1,1.0
SD,1000,1.0,1e-10,False,1.21,6.01,20,0.547245794726328,1.5939786520932466,30.7960750267838,0.5743888073396822,8.12,1,1.0
SD,1000,1.0,1e-10,False,1.21,6.01,20,0.5223767155943712,1.5952205911024555,31.708232010085855,0.3278323233933476,13.48,1,1.0
SD,1000,1.0,1e-10,False,1.21,6.01,20,0.5344590697724575,1.5941193367053832,30.70743247539954,0.550931638432124,9.0,2,0.99
SD,1000,1.0,1e-10,False,1.41,6.01,20,0.5260460065540062,1.5922372323453138,31.751942378296217,0.2207507543619424,16.84,2,0.99
SD,1000,1.0,1e-10,False,1.41,6.01,20,0.5279549638268097,1.5906639716971416,30.62358526352943,0.4661753341186476,9.86,1,1.0
SD,1000,1.0,1e-10,False,1.41,6.01,20,0.5438568474725406,1.5921772978383495,31.795635765323492,0.2329779914134228,13.82,1,1.0
SD,1000,1.0,1e-10,False,1.41,6.01,20,0.5297831420992594,1.5954481468660058,33.60557972767236,0.0958709569988987,19.08,1,1.0
SD,1000,1.0,1e-10,False,1.61,6.01,20,0.5420300657700596,1.5939431083895286,34.634427177505806,0.1004078554529923,19.46,1,1.0
SD,1000,1.0,1e-10,False,1.61,6.01,20,0.5301273955365122,1.5893126560560151,32.28671245882547,0.2166134605274723,15.84,1,1.0
SD,1000,1.0,1e-10,False,1.61,6.01,20,0.5244964364750164,1.5877345628444588,31.55435589782207,0.1565223443308784,15.98,2,0.99
SD,1000,1.0,1e-10,False,1.61,6.01,20,0.5345519917910355,1.58832882510707,31.327075046328417,0.1395892504968552,17.86,1,1.0
SD,1000,1.0,1e-10,False,1.81,6.01,20,0.5340632682754889,1.589302875844424,33.283739248717865,0.0872618849244858,17.88,1,1.0
SD,1000,1.0,1e-10,False,1.81,6.01,20,0.5399655293132753,1.586627341748638,31.484534725870343,0.1632948775968503,15.64,1,1.0
SD,1000,1.0,1e-10,False,1.81,6.01,20,0.5323136028547214,1.584745036581615,31.112944030076843,0.1668886861828505,16.92,1,1.0
SD,1000,1.0,1e-10,False,1.81,6.01,20,0.5393817263415984,1.584480164565781,31.084984441070375,0.1076768726981571,18.42,1,1.0
SD,1000,1.0,1e-10,False,2.01,6.01,20,0.5408834882301354,1.5920837575795077,35.364968198621334,0.110452323186845,19.72,1,1.0
SD,1000,1.0,1e-10,False,2.01,6.01,20,0.5237696512681098,1.589547595220442,35.13493475411029,0.108300564955539,21.4,1,1.0
SD,1000,1.0,1e-10,False,2.01,6.01,20,0.5320466415121126,1.5903140164116925,34.342775171349,0.0951724775507446,20.44,1,1.0
SD,1000,1.0,1e-10,False,2.01,6.01,20,0.5258263020276148,1.5851294163599143,31.19017023331485,0.1005024632251855,17.36,2,0.96
SD,1000,1.0,1e-10,False,2.21,6.01,20,0.5317925211750737,1.5820482778826372,32.43913518866277,0.0571281476636375,20.12,1,1.0
SD,1000,1.0,1e-10,False,2.21,6.01,20,0.5429721531780373,1.5812138915738096,32.66654773809689,0.1010719074423399,20.06,1,1.0
SD,1000,1.0,1e-10,False,2.21,6.01,20,0.5452227844163562,1.5781415843016369,31.048237714849805,0.063107441536938,19.14,1,1.0
SD,1000,1.0,1e-10,False,2.21,6.01,20,0.5310316107175826,1.575398252380267,29.78408384909713,0.1411782023554786,16.92,1,1.0
SD,1000,1.0,1e-10,False,2.41,6.01,20,0.5556606602628379,1.587531565897404,35.116174853985946,0.0623067620329605,22.42,1,1.0
SD,1000,1.0,1e-10,False,2.41,6.01,20,0.5222227092665617,1.575652655863954,31.606254637520813,0.0594814703521546,20.74,1,1.0
SD,1000,1.0,1e-10,False,2.41,6.01,20,0.5314182239552961,1.5855136733110162,35.76748851044412,0.1086585346296035,20.86,1,1.0
