name,N,J,noise,periodic,beta,gamma,r_mean,alpha,Tc,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
SD,1993,1.0,1e-10,False,5.810000000000003,2.01,0.5143677786061228,1.606779903687385,156.21870526392158,0.04288456011369452,67.12,1,1.0
SD,1996,1.0,1e-10,False,5.810000000000003,2.01,0.5135143410707702,1.60677350141949,156.75774314934102,0.04146349404330233,66.77,1,1.0
SD,1990,1.0,1e-10,False,5.810000000000003,2.01,0.5415962127111059,1.6067987536117398,156.52270315932466,0.04012942556697862,66.40201005025126,1,1.0
SD,1993,1.0,1e-10,False,5.810000000000003,2.01,0.510895443083706,1.6067880017258152,156.21263128497034,0.04044247325868944,65.16,1,1.0
SD,2000,1.0,1e-10,False,1.01,2.21,0.5467976151448647,1.6054733379088317,87.73639311398772,0.03964133933668862,33.32,1,1.0
SD,2000,1.0,1e-10,False,1.01,2.21,0.5481204737763982,1.6054010136116978,86.10719877602445,0.039505400999063876,32.54,1,1.0
SD,2000,1.0,1e-10,False,1.01,2.21,0.5322321287868228,1.605448677226143,86.80232908640666,0.03808153890883929,32.26,1,1.0
SD,2000,1.0,1e-10,False,1.01,2.21,0.5509943277242856,1.6054181650521748,86.49333719505944,0.04308463822441112,33.14,1,1.0
SD,2000,1.0,1e-10,False,1.21,2.21,0.5437726811766731,1.6058442548697736,98.34533615274697,0.03835042402051614,37.33,1,1.0
SD,2000,1.0,1e-10,False,1.21,2.21,0.5295494372777964,1.605823258045086,97.93338165133797,0.037432434433407644,37.53,1,1.0
SD,2000,1.0,1e-10,False,1.21,2.21,0.5376824044217752,1.6058491499565044,98.36935821656249,0.03654200771404568,36.67,1,1.0
SD,2000,1.0,1e-10,False,1.21,2.21,0.5323005696354373,1.605883937760307,99.71943589779633,0.03627942404007255,37.87,1,1.0
SD,2000,1.0,1e-10,False,1.41,2.21,0.5414226912335961,1.6060470984909192,107.67770453141554,0.03973775220589779,42.14,1,1.0
SD,2000,1.0,1e-10,False,1.41,2.21,0.5455884840495608,1.6060550856346487,107.57441733056527,0.038191834511362224,42.05,1,1.0
SD,2000,1.0,1e-10,False,1.41,2.21,0.5299973704511053,1.6060312780470785,106.2789994361742,0.036999079476764056,41.47,1,1.0
SD,1999,1.0,1e-10,False,1.41,2.21,0.5327633394409257,1.6060573143372276,106.62788189296481,0.036657960377448846,40.8,1,1.0
SD,1999,1.0,1e-10,False,1.6099999999999999,2.21,0.5458159975079333,1.606181655158316,113.35522634899964,0.03864466739563487,44.78,1,1.0
SD,2000,1.0,1e-10,False,1.6099999999999999,2.21,0.5405209823025205,1.6062210777282178,114.6674014278492,0.038193064940614585,45.5,1,1.0
SD,1999,1.0,1e-10,False,1.6099999999999999,2.21,0.5279527566549265,1.6061608447212083,112.08066985921326,0.037994199759741734,44.37,1,1.0
SD,2000,1.0,1e-10,False,1.6099999999999999,2.21,0.5208515016723892,1.6061811677880842,112.67329557353345,0.038887724706310856,44.33,1,1.0
SD,2000,1.0,1e-10,False,1.8099999999999998,2.21,0.5518522773101138,1.6062346403523935,116.87623601634306,0.03828873508380047,45.72,1,1.0
SD,2000,1.0,1e-10,False,1.8099999999999998,2.21,0.5351758471571735,1.6062386065326442,117.35934695000188,0.0390555881588291,47.02,1,1.0
SD,2000,1.0,1e-10,False,1.8099999999999998,2.21,0.5398427170643191,1.6062447349381463,116.4288379187864,0.03720259862306644,46.17,1,1.0
SD,2000,1.0,1e-10,False,1.8099999999999998,2.21,0.5273082166110213,1.6062348139434397,116.44692614654802,0.038161451004495264,45.64,1,1.0
SD,2000,1.0,1e-10,False,2.01,2.21,0.5147065810896407,1.6063157592899229,120.90156882599327,0.03693766544679113,48.88,1,1.0
SD,1998,1.0,1e-10,False,2.01,2.21,0.5353449244812836,1.6063389970603434,121.643764071882,0.03757374929160513,48.66,1,1.0
